Date,EUR,USD,JPY,RUB,AUD,CAD,CNY,HKD,INR,KRW,NZD,SGD,THB,VND
7/7/2021,1,1.1831,130.86,87.8009,1.5711,1.4708,7.6478,9.19,88.2825,1344.89,1.676,1.5924,38.173,27207
7/8/2021,1,1.1838,129.91,89.0266,1.5957,1.4893,7.6832,9.1967,88.6073,1361.34,1.7048,1.602,38.497,27245
7/9/2021,1,1.1858,130.46,88.0163,1.5868,1.4817,7.6834,9.2117,88.371,1358.2,1.6982,1.6029,38.598,27274
7/12/2021,1,1.1852,130.55,88.4389,1.5888,1.4813,7.6751,9.2052,88.411,1361.95,1.7019,1.6027,38.732,27270.02
7/13/2021,1,1.1844,130.55,87.8029,1.584,1.4782,7.6598,9.197,88.2879,1356.76,1.6981,1.6014,38.635,27261.99
7/14/2021,1,1.1812,130.3,87.4789,1.5817,1.4732,7.6268,9.1742,87.9885,1355.24,1.6819,1.599,38.525,27150.01
7/15/2021,1,1.1809,129.93,87.5176,1.5876,1.4808,7.6304,9.1726,88.051,1350.13,1.6888,1.5995,38.598,27192.98
7/16/2021,1,1.1802,130.03,87.5186,1.5907,1.4856,7.6373,9.1684,88.031,1347.94,1.6836,1.5993,38.669,27159.99
7/19/2021,1,1.1766,128.96,87.9317,1.6043,1.5028,7.6344,9.1419,88.226,1357.53,1.6986,1.6045,38.663,27110.98
7/20/2021,1,1.1775,129.03,87.6775,1.6082,1.5023,7.6305,9.1529,87.921,1352.39,1.7049,1.6106,38.634,27132.96
7/21/2021,1,1.1772,129.63,87.5209,1.6089,1.4932,7.6201,9.1518,87.7895,1359.56,1.7004,1.6104,38.695,27101.99
7/22/2021,1,1.1775,129.83,86.9522,1.5959,1.4779,7.6153,9.1506,87.6615,1352.59,1.6906,1.602,38.704,27134.99
7/23/2021,1,1.1767,130.11,86.6254,1.5944,1.4788,7.6224,9.142,87.5905,1354.19,1.6846,1.5997,38.743,27065.01
7/26/2021,1,1.1787,130.05,87.1713,1.601,1.4804,7.6426,9.1656,87.7305,1360.69,1.6889,1.6032,38.832,27132.01
7/27/2021,1,1.181,129.98,87.0133,1.6029,1.4839,7.6799,9.1915,87.913,1360.75,1.6956,1.6059,38.926,27128.04
7/28/2021,1,1.1807,129.97,86.7666,1.6081,1.484,7.6722,9.188,87.833,1362.99,1.7013,1.6057,38.78,27150.01
7/29/2021,1,1.1873,130.41,87.0021,1.6062,1.4808,7.6691,9.2272,88.1675,1360.07,1.6986,1.6072,39.003,27274
7/30/2021,1,1.1891,130.39,86.7116,1.6133,1.4791,7.6838,9.2451,88.3941,1368.74,1.699,1.609,39.098,27319.01
8/2/2021,1,1.1886,130.17,86.4182,1.6141,1.4816,7.6807,9.2398,88.396,1367.67,1.7041,1.6069,39.152,27293
8/3/2021,1,1.1885,129.7,86.7063,1.6086,1.4874,7.6818,9.2428,88.2175,1364.59,1.6953,1.6056,39.244,27289.02
8/4/2021,1,1.1861,129.31,86.5106,1.6002,1.488,7.6638,9.2236,87.9575,1355.44,1.6784,1.6,39.272,27207
8/5/2021,1,1.185,129.79,86.5784,1.599,1.4817,7.6555,9.216,87.8256,1353.34,1.6759,1.5996,39.389,27174.01
8/6/2021,1,1.1807,129.64,86.4194,1.5968,1.4763,7.6379,9.1827,87.4993,1349.15,1.6737,1.5952,39.359,27069
